yes,house,school,farm,roof,public,commercial,church,retail,farm_auxiliary,warehouse,college,stilt_house,hospital,civic,grandstand,Location,Date_Extracted,industrial,terrace,hotel,hut,university,transportation,residential,office,apartments,chapel,purok_center,service,construction,barn,cathedral,garages,purok center,meeting center,pavilion,shed,garage,stable,sports_hall,purok shade,sty,kindergarten,daycare,Rice_Mill,accommodation,no,houses,greenhouse,detached,damaged,yes;school,ruins,tank,stage,hospital grounds,church;yes,semidetached_house,train_station,hangar,dormitory,carport,Botique,storage_tank,religious,lighthouse,day care center,grocery store,bridge,bank,vulcanizing shop,mosque,silo,guardhouse,supermarket,pumping_station,hall,store,clubhouse,restaurant,manufacture,security_booth,temple,pagoda,parking,belfry,shop,Health Center,water_tank,bungalow,luxurious_hotel,bahay_laang,gazebo,basketball court,Power GenSet House,fire_station,Aqua Ardenta Purified Water,Cr,Mahacot East RWSA Office,basilica,toilets,DRRM OFFICE,covered court,government,cabin,gatehouse,cottage,wayside_shrine,monastery,store_shop,RFJ Construction and Trading,Health_Facility,Cattubo_Barangay_Hall,Cattubo MPC,stadium,museum,ngo,abandoned,pergola,kiosk,farmhouse,collapsed,Institution,institution,Government_Office,institutional,Trinidad RHU Building,tree_house,meetingpoint,airport_terminal,Government_Building,control_tower,administrative,cowshed,bunker,Sari Sari Shop,clinic,Kimkar Building,Elementary,Gymnasium,school_facility,business establishment,gymnasium,Grocery,Registry of Deeds,Gazebo,chicken_coop,rural,JL Farm Station,cell tower,resort,damage,tent,healthcare,residential;collapsed,power,tunnel,CAPSU President,day_care_center,dryer,sport,sports_centre,static_caravan,business,balcony,canopy,proposed,Zodiac Ville,shelter,mausoleum,Government Agency,court,inn,Bahay Pag-asa,Barngay hall,Multipurpose Cooperative,sup,government_office,Dialysis Clinic,Rizza Mae Fauni Dental Clinic,livestock,destroyed,entrance,tower,historic,Government,theatre,foundations,ground,repaired,Heritage House,outbuilding,Sarisari store,REACT_Philippines_Inc,Senior_Citizen_Building,Ubbos_Residence,place_of_worship,Health_Building,HMS_GW,hms_gw,military,canteen,ground_station,CPA Review Center,prison,"yes,_market","OSS, Alumni, HR, Records, Clinic",Knowledge Center,Der Mana Residences,semi,townhall,convent,facility,dock,Residential House,pharmacy,edificio,Local_Government_Property,Municipal_Hall,marketplace,factory,education,Lodge,brgytanodoutpost,kuboshed,daycarecenter,municipal court,nipahuthouse,scss,National Highway 2,jail facility,town plaza,Barangay Hall,Waiting Shed,bing,track,manor,PDEA_Regional_Office_VI,MORE_POWER_ILOILO,recreation_ground,Local_Government,Clustered,demolished,barangay hall,villa,duplex,cafe,Baranggay hall,covered,shrine,weather_station,seminary,kitchen,reconstructed,yesm,college_of_architecture_and_allied_discipline,"barber_shop,tacloban_city",COE,market,town_hall,path,NHA,boarding_house,classroom,center,Institutional,Water_Station,laboratory,parish shelter,Mixed_Use,truck,rectory,heath,Supply_Building,NO,gas_station,mall,commercial;retail,stilthouse,private property,retail;commercial,Santo Niño Road,lounge,Guest_House,motel,Pigcawayan Municipal Gymnasium,over_water,BluVer,dome,motorway,power_substation,police,quarry,footway,Idelfonso Tuazon Street,water_tower,Unsure_-_please_check,allotment_house,tennis,multipurpose,Yakult,covered_court,Pineda Residence,public market,government office,convention hall,court house and office,Pantal Multipurpose Hall,RTA Building,convention and ciultural hall,bakehouse,townhouse,generic,Bakery,coastline,YSR Commercial Space,Vacant Lot,convenience,Covered_Court,funeral_hall,Taytay-San Juan,school canteen,active,bell_tower,goverment_building,Police_Station,container,pond,tourism,islet,RTWPB XII,Studio,gasoline_station,Chapel,branch,patio,pavillion,Reservoir,building across building,Checkpoint,Building across another building
37487,35916,1758,154,67,50,31,6,5,4,3,3,2,2,2,1,Abra,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66482,892,1537,,101,44,26,42,18,,12,6,,21,6,1,Agusan del Norte,01/09/2023,14,12,9,8,8,7,7,6,6,5,3,2,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10461,4204,1465,,119,100,56,24,20,1,3,2,,24,8,,Agusan del Sur,01/09/2023,11,,,3,8,3,650,13,2,3,,,,,,1,,,,15,5,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86610,16716,1290,3,56,14,16,19,14,6,5,35,,33,8,1,Aklan,01/09/2023,4,10,24,38,40,5,15,1,45,10,,,,1,1,,,,,31,3,,,,,,,,9,4,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152917,10889,5277,1,87,13,228,32,19,2,9,23,,29,10,,Albay,01/09/2023,107,5,12,11,1,5,1633,25,9,27,,1,6,3,,,,,,19,5,,,,,2,,,,,,8,9,,,,,,,,,5,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29113,5632,1481,,69,22,36,14,10,,6,,,15,10,,Antique,01/09/2023,59,33,,19,,,141,,100,6,,,5,,,,,,,22,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39808,180,1313,3,40,3,,,5,,,12,,6,,,Apayao,01/09/2023,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34937,2763,1093,6,38,16,34,20,29,1,1,11,,3,3,,Aurora,01/09/2023,4,,4,,,,72,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9121,114,1184,,10,17,3,3,15,,,,8,5,1,,Basilan,01/09/2023,9,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158256,4878,1718,5,211,30,38,43,29,,4,9,,5,15,,Bataan,01/09/2023,93,238,3,,1,4,112,4,19,8,,1,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,4,,,36,,,,,,,,,15,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5496,76,52,,,4,,3,,,,,,,,,Batanes,01/09/2023,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584213,21107,3819,128,424,801,1455,130,336,12,66,31,,83,22,1,Batangas,01/09/2023,339,699,97,2,46,13,3869,71,143,100,,13,23,,1,,,,2,5,7,1,,,,1,,,,,,,3,,,2,,,,,,,2,6,6,,163,1,,,,,,,1,,1,5,,,1,10,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129829,4534,2526,7,442,48,497,76,52,8,39,26,,37,12,6,Benguet,01/09/2023,53,31,43,19,62,,14006,43,111,13,,4,32,1,2,,,,1,70,27,1,,,4,4,,,,,,81,3,,,2,,,,,,,,11,,,5,,,,,1,,,1,,26,,,,,,1,,,,,,,,,,,,,,,,,,,,,9,,,104,10,6,4,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19049,15169,930,11,7,14,17,3,11,,2,,,1,2,2,Biliran,01/09/2023,1,,,10,,1,235,1,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137971,4897,4397,,146,128,85,76,62,,14,4,1,27,51,1,Bohol,01/09/2023,29,5,25,2,5,7,3633,15,14,96,,1,16,,2,,,,,106,22,,1,,11,3,,,,1,,17,1,,,,,,,,,,1,3,,,,,,,,,,,,,1,1,,,,,,,,4,,1,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,8,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90874,1520,1408,,115,75,47,44,39,6,9,5,,24,6,2,Bukidnon,01/09/2023,74,9,2,22,,3,720,23,5,6,,3,8,1,,,,,2,6,2,,,,,1,,,,,,1,,,,,,,,,,,,4,1,,1,,,,,,,,,2,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59517,34567,3208,58,622,91,405,127,193,167,149,47,,52,44,,Bulacan,01/09/2023,553,1444,4,42,40,3,298,22,313,77,,2,30,13,1,2,,,1,13,35,,,,,1,,,,,,3,88,,,8,,,,,9,5,1,5,1,,2,,,,,,,,,,17,1,,,,6,,1,1,,,,,,,,2,,,1,,,,,,,,1,,,1,,,,,,,,,,,3,1,,3,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344986,5161,5861,2,185,23,18,21,24,2,5,2,,20,4,,Cagayan,01/09/2023,11,,3,1,12,2,153,6,90,4,,2,161,1,1,,,,,39,1,,,,,,,,,,,,19,2,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40260,1712,2243,,57,8,23,31,5,6,8,25,,5,10,,Camarines Norte,01/09/2023,5,,1,9,,1,231,5,5,4,,,1,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68256,3583,8981,2,148,49,36,62,59,26,,45,,23,13,7,Camarines Sur,01/09/2023,43,,2,1,27,9,341,5,4,19,,3,1,1,,,,,1,2,3,,,,,,,,,,,,,,,7,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7513,5792,248,,12,7,3,4,3,,2,,,3,,,Camiguin,01/09/2023,,,1,,,2,2,1,,2,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
