yes,house,school,farm,roof,public,commercial,church,retail,farm_auxiliary,warehouse,college,stilt_house,hospital,civic,grandstand,Location,Date_Extracted,industrial,terrace,hotel,hut,university,transportation,residential,office,apartments,chapel,purok_center,service,construction,barn,cathedral,garages,purok center,meeting center,pavilion,shed,garage,stable,sports_hall,purok shade,sty,kindergarten,daycare,Rice_Mill,accommodation,no,houses,greenhouse,detached,damaged,yes;school,ruins,tank,stage,hospital grounds,church;yes,semidetached_house,train_station,hangar,dormitory,carport,Botique,storage_tank,religious,lighthouse,day care center,grocery store,bridge,bank,vulcanizing shop,mosque,silo,guardhouse,supermarket,pumping_station,hall,store,clubhouse,restaurant,manufacture,security_booth,temple,pagoda,parking,belfry,shop,Health Center,water_tank,bungalow,luxurious_hotel,bahay_laang,gazebo,basketball court,Power GenSet House,fire_station,Aqua Ardenta Purified Water,Cr,Mahacot East RWSA Office,basilica,toilets,DRRM OFFICE,covered court,government,cabin,gatehouse,cottage,wayside_shrine,monastery,store_shop,RFJ Construction and Trading,Health_Facility,Cattubo_Barangay_Hall,Cattubo MPC,stadium,museum,ngo,abandoned,pergola,kiosk,farmhouse,collapsed,Institution,institution,Government_Office,institutional,Trinidad RHU Building,tree_house,meetingpoint,airport_terminal,Government_Building,control_tower,administrative,cowshed,bunker,Sari Sari Shop,clinic,Kimkar Building,Elementary,Gymnasium,school_facility,business establishment,gymnasium,Grocery,Registry of Deeds,Gazebo,chicken_coop,rural,JL Farm Station,cell tower,resort,damage,tent,healthcare,residential;collapsed,power,tunnel,CAPSU President,day_care_center,dryer,sport,sports_centre,static_caravan,business,balcony,canopy,proposed,Zodiac Ville,shelter,mausoleum,Government Agency,court,inn,Bahay Pag-asa,Barngay hall,Multipurpose Cooperative,sup,government_office,Dialysis Clinic,Rizza Mae Fauni Dental Clinic,livestock,destroyed,entrance,tower,historic,Government,theatre,foundations,ground,repaired,Heritage House,outbuilding,Sarisari store,REACT_Philippines_Inc,Senior_Citizen_Building,Ubbos_Residence,place_of_worship,Health_Building,HMS_GW,hms_gw,military,canteen,ground_station,CPA Review Center,prison,"yes,_market","OSS, Alumni, HR, Records, Clinic",Knowledge Center,Der Mana Residences,semi,townhall,convent,facility,dock,Residential House,pharmacy,edificio,Local_Government_Property,Municipal_Hall,marketplace,factory,education,Lodge,brgytanodoutpost,kuboshed,daycarecenter,municipal court,nipahuthouse,scss,National Highway 2,jail facility,town plaza,Barangay Hall,Waiting Shed,bing,track,manor,PDEA_Regional_Office_VI,MORE_POWER_ILOILO,recreation_ground,Local_Government,Clustered,demolished,barangay hall,villa,duplex,cafe,Baranggay hall,covered,shrine,weather_station,seminary,kitchen,reconstructed,yesm,college_of_architecture_and_allied_discipline,"barber_shop,tacloban_city",COE,market,town_hall,path,NHA,boarding_house,classroom,center,Institutional,Water_Station,laboratory,parish shelter,Mixed_Use,truck,rectory,heath,Supply_Building,NO,gas_station,mall,commercial;retail,stilthouse,private property,retail;commercial,Santo Ni√±o Road,lounge,Guest_House,motel,Pigcawayan Municipal Gymnasium,over_water,BluVer,dome,motorway,power_substation,police,quarry,footway,Idelfonso Tuazon Street,water_tower,Unsure_-_please_check,allotment_house,tennis,multipurpose,Yakult,covered_court,Pineda Residence,public market,government office,convention hall,court house and office,Pantal Multipurpose Hall,RTA Building,convention and ciultural hall,bakehouse,townhouse,generic,Bakery,coastline,YSR Commercial Space,Vacant Lot,convenience,Covered_Court,funeral_hall,Taytay-San Juan,school canteen,active,bell_tower,goverment_building,Police_Station,container,pond,tourism,islet,RTWPB XII,Studio,gasoline_station,Chapel,branch,patio,pavillion,Reservoir,building across building,Checkpoint,Building across another building
8817,7632,3701,1,222,228,90,46,72,,13,52,1,43,30,4,Negros Oriental,01/09/2023,55,15,9,2,58,4,58,18,39,21,,,4,,1,,,,,2,,,,,2,5,,,,2,,1,1,,,,,,,,,,,8,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108254,532,3438,,204,45,86,17,17,5,4,6,,18,3,,North Cotabato,01/09/2023,11,,,,,3,64,5,,2,,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78942,2115,2361,,42,13,46,16,12,1,14,38,,19,10,3,Northern Samar,01/09/2023,24,,14,1,1,1,568,2,16,3,,,1,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9766,2293,7882,,547,105,78,69,71,,19,7,,24,16,2,Nueva Ecija,01/09/2023,45,,2,,123,,53,11,11,19,,1,,,2,,,,,,4,,,,,1,,,,,,4,,,,,,,,,,,1,14,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960,370,2452,,122,12,50,27,17,,8,9,,19,3,,Nueva Vizcaya,01/09/2023,13,,10,1,2,,53,26,4,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23776,164,1251,,77,10,30,33,24,,2,,,5,9,,Occidental Mindoro,01/09/2023,3,,3,,,2,98,,,4,,,5,1,,,,,,3,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359,4486,2632,,130,19,153,19,49,1,11,18,,8,11,2,Oriental Mindoro,01/09/2023,7,11,11,,,4,2,7,6,5,,,2,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798288,43688,5806,9,1570,487,530,875,235,38,66,67,,94,20,1,Pampanga,01/09/2023,510,7,60,15,61,7,3243,63,150,76,,1,50,7,1,2,,,,12,33,,,,18,7,,,,,,4,,6,,1,,,,,9,1,6,3,5,,12,,,,,4,1,,7,,35,3,58,97,,9,1,9,,1,,4,,,,,,,,2,,,8,,,,,1,,,50,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,38,,,,21,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,55,12,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25353,9360,13144,5,723,238,122,138,99,35,17,43,,69,25,1,Pangasinan,01/09/2023,209,,14,9,64,1,370,17,13,50,,1,8,1,2,,,,,7,5,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,1,8,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60360,4845,3754,9,372,103,137,90,79,6,16,4,,30,25,1,Quezon,01/09/2023,67,2,5,3,41,6,1851,28,11,33,,2,3,3,2,,,,,7,2,,,,,5,,,,,,10,2,,,,,,,,,2,1,,,,3,,1,,,,,,,,,2,,1,,4,,,,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40188,2039,1528,,39,8,27,10,,3,,,,,2,,Quirino,01/09/2023,,,1,,,,3814,,,,,,,,,,,,,11,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275469,34583,1777,2,550,76,214,97,152,1,40,9,3,33,49,1,Rizal,01/09/2023,109,131,3,4,14,3,1154,15,432,27,,1,19,,1,1,,,,25,33,,1,,,1,,,,,,1,137,,,,,,,,,1,,,,,5,,,,,,,,4,,4,1,,,1,2,,,1,,,,,,,,,,,,,,1,,,,,1,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
12759,418,1120,,20,11,13,12,7,,,5,,7,11,,Romblon,01/09/2023,3,,,3,1,5,1,2,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
81377,4985,1470,17,188,25,305,18,13,14,8,11,,11,23,,Samar,01/09/2023,23,2,7,4,31,2,7057,13,3,16,,2,14,,1,1,,,,29,13,,,,1,,,,,,,4,3,570,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,271,1303,1,75,58,26,11,1,,,,,3,,,Sarangani,01/09/2023,19,,,,,,66,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9958,16,389,,38,76,1,10,4,,,,,3,3,,Siquijor,01/09/2023,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
141510,3526,3699,,29,64,23,21,13,,2,17,,49,3,2,Sorsogon,01/09/2023,32,,,70,,5,147,,2,54,,,3,2,1,,,,,2,4,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,
349214,8106,2699,53,291,122,178,65,70,147,42,8,,16,41,2,South Cotabato,01/09/2023,186,,7,12,12,4,873,36,38,14,,1,23,10,,,,,,101,45,,,,,,,,,2,,9,10,,,3,,,,,,,,5,,,14,,,,,,,,3,,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,2,,,,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,1,1,1,,,,,,,,,,
48623,11723,663,18,89,40,91,40,35,5,12,3,,12,21,1,Southern Leyte,01/09/2023,12,,3,3,,5,67,1,15,27,,,7,1,2,,,,,2,9,,,,,1,,,,,,,2,,,4,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,
25256,249,1648,,119,31,6,17,14,4,7,,,6,1,,Sultan Kudarat,01/09/2023,9,,1,,4,,1,,,1,,,2,,,,,,,39,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21893,186,437,,8,8,52,1,1,,,37,11,9,4,,Sulu,01/09/2023,8,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60636,3281,1012,,101,34,64,24,8,,3,1,7,5,4,,Surigao del Norte,01/09/2023,38,9,4,,,8,208,1,3,8,,,1,1,1,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12175,2210,1010,,65,298,81,29,16,,15,5,,3,4,,Surigao del Sur,01/09/2023,1,,6,1,,4,131,3,12,2,,,,,1,,,,,21,8,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680589,1232,2502,1,377,63,144,94,27,5,5,12,,10,3,1,Tarlac,01/09/2023,35,,5,8,9,,161,13,6,31,,,3,,1,,,,2,6,5,,,,,4,,,,,,,1,,,,,,,,,,,3,1,,,,,,,,,,,,1,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,
6015,9362,823,,21,16,22,,6,,5,,22,9,3,1,Tawi-Tawi,01/09/2023,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79669,80446,2422,400,208,52,1159,44,59,,26,72,,15,11,3,Zambales,01/09/2023,417,,109,5,10,,1122,5,34,7,,1,20,,1,,,,,3,,,,,,,,,,,1,,3,,,160,,,,,,,2,,1,,6,,1,,,,,,1,,2,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
80508,156,5577,,172,31,107,18,15,,2,5,,5,4,2,Zamboanga del Norte,01/09/2023,16,,,,,3,8,1,1,3,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71384,1592,7244,,250,87,131,38,38,2,28,8,250,57,29,3,Zamboanga del Sur,01/09/2023,95,3,11,9,21,4,767,22,7,6,,1,,,1,,,,,5,11,,,,2,2,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,14,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
13181,439,3786,,47,9,5,8,16,,,1,,1,,1,Zamboanga Sibugay,01/09/2023,3,,1,,20,1,10,1,1,1,,,,,,,,,,1,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988762,104440,3295,0,2405,427,1950,511,1324,,420,114,15,235,375,10,Metro Manila,01/09/2023,1315,2162,186,6,183,44,3833,524,2750,205,,58,344,2,9,6,,,2,51,47,0,1,,,11,,,4,5,,2,56,,,20,,,,,7,30,1,79,4,,12,,,,,2,1,,11,3,53,16,,1,1,15,,2,20,11,,40,,71,,,,,,,,,1,,,,,2,,,21,0,,,2,2,,,,,,1,0,,6,,2,,2,,,,1,,,,,,,,,,,2,,,1,,,1,,,,,,,,,0,8,1,,,,,,,,,,,,1,1,,,60,,,,,,,,,,,,1,,,1,21,,,,,,,,,,,5,,,,5,0,,,,,,,,,2,1,,,,1,,,,,18,44,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,1,,,,20,,,,,,,,,,,1,,,1,,,,0,,,,,,,,,,,,,,,,205,,,,,,,
101360,9976,2628,3,148,153,80,58,26,,9,4,4,12,42,4,Palawan,01/09/2023,47,1,31,31,30,7,748,18,6,19,,4,1,0,2,0,,,0,16,2,1,0,,,1,,,0,1,,2,30,,,5,,,,,0,0,4,2,0,,0,,,,,0,0,,5,0,0,0,,0,0,0,,0,0,0,,0,,4,,,,,,,,,0,,,,,0,,,1,2,,,0,0,,,,,,0,1,,0,,0,,0,,,,0,,,,,,,,,,,0,,,0,,,0,,,,,,,,,3,0,0,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,0,,,0,1,,,,,,,,,,,0,,,,1,1,,,,,,,,,0,0,,,,0,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,0,,,,1,,,,,,,,,,,,,,,,19,,,,,,,
