convenience,supermarket,car_repair,hardware,chemist,hairdresser,bakery,car_parts,electronics,alcohol,beverages,department_store,beauty,funeral_directors,motorcycle,Location,Date_Extracted,car,pawnbroker,clothes,computer,water,ticket,books,shoes,doityourself,mobile_phone,mall,boutique,bicycle,travel_agency,laundry,variety_store,butcher,radiotechnics,optician,general,bookmaker,stationery,tyres,trade,copyshop,furniture,sports,locksmith,greengrocer,garden_centre,appliance,yes,hifi,religion,pastry,wholesale,gift,company,tailor,newsagent,kiosk,massage,food,tea,vulcanizing,fashion,money_lender,photo,weapons,money_transfer,second_hand,chocolate,rice,watches,farm,confectionery,tire_repair,general_store,florist,seafood,tattoo,pet,printing,motorcycle_parts,lottery,cosmetics,scuba_diving,printer_ink,gas,fashion_accessories,motorcycle_repair,cell_phones,resturaunt,security,e-cigarette,collector,musical_instrument,tiles,trophy,jewelry,party,health_food,erotic,"beauty, hairdresser",sgift,deli,paint,agrarian,atv,outdoor,grocery,vacant,storage_rental,security_dogs,Heavy Equipment Repair Shop,souvenir,surf,coffee,toys,candles,water_refilling_station,art,houseware,medical_supply,fabric,lighting,herbalist,telecommunication,animal_supply,perfumery,wine,water_station,pro_shop,medical,model,bed,country_store,music,service_center,bag,hydraulic_hose,interior_decoration,flooring,Agri of Batangas,public_market,rental,glaziery,nutrition_supplements,salisali store,bottle_shop,shoe_repair,curtain,tobacco,frozen_food,craft,sunglasses,Equipment,baby_goods,camera,doors,leather,Baguio_Products_Souvenir_Shop,machine_shop,swimming_pool,video_games,sewing,outpost,electrical,surplus,Ballmill_maker,fishing,repair,photo_studio,dry_cleaning,no,emission_testing,water refilling,upholstery,storage,bakery;department_store,Car Aircon,antiques,native_products,corn_rice_mill,truck,pet_grooming,kitchen,eggs,variety,mattress,auction,courier,advertising,vulcanizing_shop,junk_yard,hairdresser_supply,hvac,fuel,office_supplies,spa,barber,cheese,Tire dealer,supermarket;department_store,dairy,Surplus,electronics;mobile_phone,postal_courier,sanitation;pest_control,hearing_aids,tattoo;tea,honey,water_supply,household_linen,charity,school supply,pharmacy,dive,balloons,electrical_repair,load_outlet,sharpener,Resthouse,specialty_food,welding,metal_fabricator,catering,empty drums,takeway,upholstery_shop,baking_supplies,bubble_tea_supplies,ice,video,frame,Plumbing Supply And Services,car_accessories,CBG,Concept_Store,Heavy_equipment_Supplier,Novelty Store,For Sale,Teodor Service Center,games,ticketing,business_center,animal_health,funeral_service,pet_supply,hardware;trade,water_refilling,Electrical_Computer_Cafe_Convenience_Store,pottery,towing,computer_repair,Woodcraft,motorcycle;motorcycle_repair,appliance;agrarian,Auto_Chemistry_Shop,insurance,gun,window_blind,school_supplies,power_tools,internet_cafe,Pretty Kay Trading,lending,corn/rice mill,commercial,junkshop,restaurant,lumber,clothes;hairdresser,"computer,_mobile_phone,_gadgets",ship_chandler,drinks,public market,printing shop,"clothes,_gluta",Vulcanizing,electronics;motorcycle;computer;confectionery;bakery,hobby,"printing_shop,_school_supplies,_photocopy,_lamination,_tarpaulin,_computer_servicing",scooter,military equipment,photography,public_building,tube_ice,pest_control,agrivet,"clothes,_Shoe,_Sandals,_Slappers,_ETC.",hunting,???,truck_repair,"laundry_shop_,_Pasalubong_shop",bottle,carpet,fish_monger,farm_supply,machine,Wensha Healthy Drinking Water,wood_carving,Internet Shop,anime,Water Station,Trade (Betis House of Decor),RJA Lumber and Hardware,energy,"repair, welding, junk shop",trade;laundry,tractor,guns,shoes;motorcycle,glass_and_aluminum,helmet,Kasiglahan Market,military_surplus,etc_shop,tofu,bridal,Fruits and Vegetable Section,fish,party_needs,communication,Printing_/_Copy_Shop_/_Tarpaulin_Printing,estate_agent,sewing_machine,aluminum and glass,business_service,lawyer,cottage_food,cottage_shop,charcoal,wellness,utilities,nuts,Private,vacuum_cleaner,Exotic Foods,Coffee Project,hardware;bicycle,appliance;motorcycle,school_supplies_store,MilkTea_Shop,water_sports,electronics repair,roof,electronics_repair,solar,tatto,motor,soap,print,printing_shop
14,5,3,3,2,2,2,2,1,1,1,1,1,1,1,Abra,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,14,3,17,2,9,24,4,9,,,5,6,4,23,Agusan del Norte,01/09/2023,17,16,11,8,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,8,3,13,,7,17,2,5,2,3,2,3,2,13,Agusan del Sur,01/09/2023,,20,7,6,4,2,1,2,4,9,2,2,,3,,4,,,,8,,2,3,7,,5,,,1,1,,1,,,,,2,,1,,,,,,,3,8,3,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,17,1,12,1,13,32,1,9,2,2,5,6,1,22,Aklan,01/09/2023,1,17,12,1,11,,,2,2,7,8,,60,10,9,4,3,,1,11,,,4,8,7,10,2,,5,,5,5,,,3,,44,,6,,2,10,,,,,3,,1,,,,,,30,,,,13,9,5,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,23,24,98,5,9,33,9,18,2,1,8,28,11,38,Albay,01/09/2023,8,23,27,9,22,4,11,5,9,6,12,1,3,,9,22,5,,3,3,,,12,,2,3,1,,,,1,6,,,1,,2,,5,,1,2,,,,,,5,,,1,,,,,2,,,1,,1,6,,,1,2,,,2,,2,,,,2,,,,,6,,,,,,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,3,3,,2,5,1,2,1,,2,3,1,10,Antique,01/09/2023,,9,,2,3,,1,,1,1,4,,,,2,3,1,,,,,1,,1,3,1,,,,,,,,,1,,2,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,1,,,,,,,,,Apayao,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,2,1,,6,,,,1,,,1,1,Aurora,01/09/2023,,,4,,4,,,,,3,1,,,1,3,4,,,2,3,,,1,,1,,3,,,,,,,,1,,3,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1,4,,1,4,1,,,,3,1,1,,Basilan,01/09/2023,,11,2,1,2,1,,,,2,,,,,,,,,1,1,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,26,16,19,1,5,12,6,11,1,1,7,5,4,31,Bataan,01/09/2023,6,29,7,1,3,2,3,2,3,,11,,5,,,104,6,,,3,3,1,1,33,1,1,1,,2,,2,1,1,,2,,3,,,,,2,,,,,,2,,,1,,,,,1,,,3,1,,,,1,4,1,,,1,,,,,,2,,,,,1,,,,,,,3,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,1,,,3,,2,,,,,,1,Batanes,01/09/2023,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,77,55,77,7,82,131,53,33,4,16,35,67,27,92,Batangas,01/09/2023,38,105,127,31,19,4,12,19,25,40,24,7,19,16,26,45,12,,19,53,1,8,13,107,65,22,4,,4,1,12,12,1,1,9,31,10,,19,,27,17,9,5,,,12,14,1,,2,,2,4,4,11,,,14,3,3,11,22,6,23,12,,2,11,2,4,,,,5,,1,3,,12,5,1,,,,1,13,6,,12,,9,,,,,,3,3,,,4,11,7,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,41,62,64,12,59,76,61,50,3,15,24,63,5,18,Benguet,01/09/2023,16,44,80,32,27,3,11,38,7,35,10,5,6,9,61,22,11,2,20,15,,14,20,83,12,10,4,,18,1,6,7,1,,21,1,25,,5,6,21,19,1,4,,,3,16,1,,11,1,3,7,8,9,,1,9,4,4,14,,,5,6,,,7,3,1,,,1,1,1,4,1,,18,1,1,,,,5,13,3,,6,5,,,,,,,5,3,,,6,2,4,,1,,3,,8,2,,,,,,,1,,2,,1,,,,12,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,5,,,,,1,,,2,Biliran,01/09/2023,,1,,,2,3,,1,1,1,1,,,,,2,,,1,,,1,,,,,,,,,,,,1,,,,,,,5,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,27,29,87,9,30,74,43,12,4,3,30,14,5,28,Bohol,01/09/2023,25,32,13,4,38,43,,2,7,4,2,2,6,36,19,96,3,,1,61,,1,7,,5,5,4,,5,3,1,6,,,1,6,25,,5,,9,15,1,,5,,6,4,,,,,,,1,1,,,6,,4,3,,,4,,3,4,1,,11,,,,1,,,,,,,1,,,,,,2,1,1,1,,,,,,,3,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,2,1,,,3,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,28,18,2,3,30,2,5,68,4,6,2,5,22,Bukidnon,01/09/2023,4,19,8,5,,,1,3,8,3,7,,3,2,5,3,4,,,,,,3,1,2,4,,,1,2,1,3,1,,1,,3,,,,8,,,,,,1,1,,,,,,,,2,,,3,2,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,1,,2,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,157,94,109,17,42,130,71,29,1,4,31,37,34,173,Bulacan,01/09/2023,39,233,31,121,29,2,17,9,25,11,38,1,54,4,33,141,16,3,11,23,2,9,35,178,7,30,1,,8,11,18,56,,3,21,,13,,6,,8,6,7,8,1,1,7,12,,,3,2,16,,1,12,,,6,5,3,22,1,7,8,13,,,9,,11,,,,3,,,5,,20,4,2,3,,,2,11,4,,5,2,,,,,2,,,2,1,,,5,4,2,,,4,,,,,,,,,,1,,,,3,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,,,3,3,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,7,4,2,,12,2,1,,2,4,1,2,4,Cagayan,01/09/2023,2,4,3,2,,1,1,,,1,7,,5,,,2,3,,,1,,1,1,1,3,1,,,,,5,,1,,,,,,,,,1,,1,,,1,1,,,,,,,2,2,,,,1,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,12,4,18,1,2,17,1,5,,,7,5,1,11,Camarines Norte,01/09/2023,,11,2,3,4,1,2,2,,3,3,1,1,,,8,,,3,3,,1,,1,1,2,2,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,,,,2,,,,1,1,,,,3,,,,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,29,7,15,1,6,24,5,11,,1,14,4,4,4,Camarines Sur,01/09/2023,11,14,7,7,6,4,2,,2,3,8,,4,1,,6,4,,1,10,,,2,1,1,3,3,,1,,1,31,,,,1,,,,,,,,,,,1,3,,,,,,,2,,,,,1,1,,,3,1,4,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,3,3,,,,,3,,1,2,Camiguin,01/09/2023,,3,1,,2,4,,,,,,,,,1,,,,,,,,,,,,3,,1,,,4,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
