Location,house,apartments,residential,toilets,waste_disposal,waste_transfer_station,school,university,college,kindergarten,childcare,prep_school,dormitory,nursing_home,quarantine_facility,birthing_centre,hospital,clinic,health_post,healthcare,pharmacy,doctors,rescue-station,community_centre,social_centre,social_facility,basin,canal,ditch,drain,lock,moat,pond,reflecting_pool,reservoir,wastewater,lagoon,lake,oxbow,river,stream,stream_pool
ABRA,35916,,,,,,322,1.0,1.0,,1.0,,,,,,1,2.0,,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,36.0,,
AGUSAN DEL NORTE,892,6.0,7.0,3.0,,1.0,395,4.0,9.0,2.0,2.0,,,1.0,,,16,11.0,4.0,,36.0,10.0,,1.0,,2.0,1.0,,,,,,1808.0,,,,2.0,6.0,,58.0,,
AGUSAN DEL SUR,4204,2.0,650.0,2.0,,,567,2.0,8.0,4.0,10.0,,,,,,15,8.0,1.0,,19.0,5.0,,11.0,,2.0,,1.0,,,,,55.0,,8.0,,,96.0,16.0,87.0,,
AKLAN,16716,45.0,15.0,16.0,1.0,,428,4.0,19.0,11.0,4.0,2.0,,,,,14,18.0,2.0,,24.0,6.0,,7.0,,4.0,,420.0,,1.0,,,5774.0,,4.0,,,,,269.0,81.0,
ALBAY,10889,9.0,1633.0,4.0,1.0,,750,9.0,27.0,2.0,4.0,,,,,,28,43.0,3.0,,49.0,10.0,,12.0,,4.0,1.0,,,,,,95.0,,11.0,,,8.0,,50.0,,
ANTIQUE,5632,100.0,141.0,4.0,,,569,2.0,6.0,1.0,2.0,,,,,,16,4.0,,,15.0,4.0,,7.0,,4.0,,,,,,,83.0,,3.0,,1.0,5.0,,43.0,2.0,
APAYAO,180,,,,,,198,,1.0,1.0,1.0,,,,,,5,1.0,,,,1.0,,,,1.0,,,,,,,12.0,,,,,2.0,,42.0,,
AURORA,2763,1.0,72.0,7.0,,,175,1.0,7.0,,3.0,,,,,,5,1.0,,,6.0,1.0,,9.0,,2.0,,,,,,,20.0,,3.0,,2.0,9.0,,66.0,1.0,
BASILAN,114,,,3.0,,,280,1.0,3.0,1.0,1.0,,,1.0,,,6,1.0,,,3.0,,,1.0,,,,,,,,,6.0,,,,1.0,,,4.0,,
BATAAN,4878,19.0,112.0,24.0,,,256,7.0,11.0,2.0,2.0,,,1.0,,,20,13.0,4.0,,35.0,9.0,,10.0,,6.0,,,,,,,55.0,,10.0,,1.0,2.0,,40.0,,
BATANES,76,,,1.0,,,26,,2.0,,,,,,,,2,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,
BATANGAS,21107,143.0,3869.0,58.0,,,1196,23.0,41.0,25.0,13.0,3.0,,1.0,,,86,95.0,1.0,,158.0,63.0,,34.0,1.0,11.0,,,,,,,117.0,,10.0,14.0,3.0,14.0,,34.0,,
BENGUET,4534,111.0,14006.0,85.0,25.0,1.0,548,15.0,19.0,9.0,23.0,,,,,,25,39.0,17.0,,134.0,29.0,,49.0,,20.0,2.0,,,,,,16.0,,9.0,1.0,,6.0,,67.0,5.0,
BILIRAN,15169,,235.0,2.0,,,150,2.0,,,1.0,,,,,,1,3.0,4.0,,6.0,1.0,,2.0,,3.0,,,,,,,1.0,,,,,,,6.0,,
BOHOL,4897,14.0,3633.0,17.0,1.0,,1180,17.0,18.0,11.0,21.0,,,,,,25,57.0,4.0,,43.0,9.0,,39.0,1.0,42.0,,,,,,,110.0,,84.0,,2.0,10.0,,37.0,,
BUKIDNON,1520,5.0,720.0,18.0,,,787,5.0,17.0,6.0,6.0,,,,,,31,34.0,9.0,,32.0,5.0,,13.0,,1.0,,,,,,,41.0,,9.0,3.0,1.0,17.0,,64.0,,
BULACAN,34567,313.0,298.0,42.0,,,811,13.0,63.0,11.0,22.0,4.0,,2.0,,,99,73.0,13.0,1.0,277.0,43.0,,46.0,1.0,39.0,1.0,,,,,,1182.0,,9.0,,,6.0,,111.0,,
CAGAYAN,5161,90.0,153.0,3.0,,,846,11.0,20.0,13.0,5.0,,,,,,27,24.0,4.0,,17.0,10.0,,12.0,,2.0,10.0,,,,1.0,,348.0,,46.0,3.0,1.0,23.0,5.0,221.0,,
CAMARINES NORTE,1712,5.0,231.0,3.0,,,317,1.0,7.0,,2.0,,,,,,11,12.0,1.0,,27.0,2.0,,4.0,,2.0,,,,,,,576.0,,,,,6.0,,74.0,,
CAMARINES SUR,3583,4.0,341.0,11.0,,,1181,21.0,28.0,5.0,9.0,,,,,,26,31.0,4.0,,69.0,7.0,,34.0,2.0,13.0,,,,,,,153.0,,3.0,,1.0,15.0,,142.0,1.0,
CAMIGUIN,5792,,2.0,2.0,,,54,,3.0,,,,,,,,1,,,,2.0,,,1.0,,,4.0,,,,,,1.0,,,,1.0,,,4.0,,
CAPIZ,3334,2.0,473.0,1.0,1.0,,539,11.0,14.0,36.0,5.0,1.0,,,,,25,37.0,2.0,,15.0,4.0,,13.0,,2.0,34.0,,,,,,2326.0,,30.0,,,63.0,,102.0,,
CATANDUANES,805,1.0,48.0,3.0,6.0,,262,2.0,7.0,,3.0,,,,,,11,4.0,1.0,,8.0,1.0,,7.0,1.0,,,,,,,,36.0,,6.0,,,13.0,,51.0,,
CAVITE,486465,469.0,27864.0,152.0,9.0,4.0,797,28.0,61.0,20.0,7.0,2.0,,2.0,,1.0,91,117.0,6.0,1.0,273.0,33.0,,155.0,6.0,16.0,4.0,,1.0,,,,593.0,,14.0,14.0,14.0,12.0,,75.0,7.0,
CEBU,8264,133.0,626.0,86.0,3.0,2.0,1827,65.0,59.0,16.0,50.0,2.0,1.0,2.0,,,62,93.0,8.0,,291.0,39.0,,107.0,,26.0,5.0,2.0,,,,1.0,166.0,,18.0,1.0,9.0,8.0,,40.0,,1.0
COMPOSTELA VALLEY,86,,1005.0,3.0,,,418,1.0,3.0,8.0,1.0,,,,,,6,4.0,3.0,,13.0,3.0,,6.0,,1.0,,,,,,,19.0,,4.0,,,2.0,,10.0,1.0,
DAVAO DEL NORTE,3010,207.0,200.0,7.0,,,455,2.0,23.0,19.0,9.0,,1.0,,,,31,19.0,6.0,,25.0,3.0,,9.0,,6.0,1.0,,,,,,193.0,,17.0,,,21.0,5.0,73.0,,
DAVAO DEL SUR,12046,150.0,350.0,65.0,2.0,,1021,18.0,86.0,93.0,18.0,1.0,3.0,2.0,1.0,,60,99.0,19.0,,160.0,58.0,,39.0,,33.0,1.0,12.0,,,,,147.0,,15.0,1.0,,26.0,5.0,71.0,,
DAVAO ORIENTAL,27,,2.0,6.0,,,398,1.0,8.0,7.0,1.0,,,,,,7,2.0,9.0,,8.0,4.0,,7.0,,1.0,,,,,,,9.0,,2.0,,,11.0,1.0,40.0,,1.0
DINAGAT ISLANDS,257,,70.0,,,,140,,,,,,,,,,3,1.0,,,1.0,5.0,,2.0,1.0,,1.0,,,,,,9.0,,1.0,,,10.0,,4.0,,
EASTERN SAMAR,6857,4.0,546.0,2.0,,,545,5.0,6.0,3.0,48.0,,,,,,20,14.0,3.0,,26.0,6.0,,28.0,,3.0,,,,,,,10.0,,,,,7.0,1.0,76.0,1.0,
GUIMARAS,273,,7.0,2.0,,,122,1.0,3.0,,3.0,,,,,,3,,,,1.0,2.0,,,,2.0,,,,,,,187.0,,,,1.0,8.0,,7.0,,
IFUGAO,1672,3.0,2.0,5.0,,,268,4.0,,2.0,3.0,,,,,,11,6.0,1.0,,1.0,1.0,,7.0,,6.0,,,,,,,113.0,,3.0,,,1.0,,23.0,,
ILOCOS NORTE,3979,6.0,30.0,23.0,,,484,4.0,7.0,9.0,7.0,1.0,,,,,23,16.0,1.0,,42.0,10.0,,15.0,1.0,6.0,7.0,,,,,,8.0,,,,,3.0,,79.0,1.0,
ILOCOS SUR,94235,23.0,97.0,14.0,,,585,1.0,11.0,5.0,,1.0,,,,,21,8.0,3.0,,36.0,5.0,,22.0,,6.0,,,,,,,105.0,,,,,6.0,,130.0,,
ILOILO,10572,1225.0,3702.0,80.0,2.0,,1430,20.0,50.0,46.0,26.0,1.0,,2.0,,,38,84.0,11.0,,200.0,29.0,,112.0,,12.0,,,,,,,2150.0,,37.0,1.0,9.0,17.0,,108.0,,
ISABELA,2210,7.0,104.0,7.0,,,1142,14.0,39.0,2.0,1.0,,,,,,37,5.0,,,20.0,8.0,,21.0,,3.0,4.0,,,,,,162.0,,33.0,1.0,1.0,21.0,,59.0,,
KALINGA,60,,,,,,298,1.0,5.0,1.0,,,,,,,6,1.0,,,2.0,2.0,,2.0,,,,,,,,,5.0,,,,,1.0,,31.0,,
LA UNION,34089,14.0,1425.0,19.0,1.0,1.0,476,6.0,15.0,4.0,12.0,,,,,,19,18.0,7.0,,51.0,11.0,,24.0,,4.0,1.0,,,,,,32.0,,2.0,,1.0,1.0,,51.0,1.0,1.0
LAGUNA,24933,142.0,2519.0,100.0,,,852,23.0,91.0,27.0,12.0,3.0,6.0,,,,68,91.0,8.0,,214.0,55.0,,57.0,1.0,29.0,1.0,,,,,,78.0,,13.0,,1.0,23.0,,43.0,,
LANAO DEL NORTE,24,4.0,4940.0,3.0,,,480,1.0,15.0,40.0,7.0,,,,,,19,25.0,5.0,,35.0,15.0,,29.0,,1.0,,,,,,,37.0,,2.0,,,16.0,,49.0,,
LANAO DEL SUR,78,,1.0,1.0,,,167,1.0,17.0,,,,,,,,6,6.0,2.0,,12.0,3.0,,16.0,,1.0,,1.0,,,,,9.0,,1.0,,,20.0,1.0,11.0,,
LEYTE,82071,56.0,1087.0,45.0,3.0,3.0,1495,16.0,44.0,18.0,70.0,3.0,,1.0,,,51,101.0,12.0,1.0,142.0,32.0,,212.0,1.0,7.0,6.0,,,,,,274.0,,38.0,,5.0,54.0,1.0,171.0,1.0,
MAGUINDANAO,928,1.0,626.0,1.0,,,264,7.0,21.0,1.0,5.0,,,,,,14,3.0,2.0,,18.0,9.0,,9.0,,1.0,1.0,1.0,,,,,20.0,,2.0,,,20.0,2.0,73.0,,
MARINDUQUE,520,,25.0,1.0,1.0,1.0,228,,3.0,2.0,,,,,,,4,3.0,,,6.0,1.0,,4.0,,,,,,,,,11.0,,1.0,3.0,,3.0,,5.0,,
MASBATE,1563,,1047.0,,,,723,1.0,4.0,,2.0,,,,,,7,3.0,,,3.0,9.0,,11.0,,5.0,1.0,,,,,,474.0,,1.0,,1.0,15.0,,41.0,,
MISAMIS OCCIDENTAL,891,,39.0,1.0,1.0,,523,6.0,8.0,3.0,1.0,,,,,,15,6.0,1.0,,16.0,7.0,,8.0,,1.0,,2.0,,,,,427.0,,1.0,,,1.0,,61.0,,
MISAMIS ORIENTAL,56288,18.0,139.0,22.0,,1.0,682,12.0,23.0,12.0,6.0,,,,,,30,34.0,12.0,,93.0,9.0,,16.0,3.0,9.0,,,,,,,61.0,,6.0,,,14.0,1.0,50.0,,
MOUNTAIN PROVINCE,2580,,92.0,7.0,,,276,1.0,2.0,3.0,9.0,,,,,,10,4.0,1.0,,11.0,5.0,,2.0,,1.0,,,,,,,12.0,,3.0,,,6.0,,64.0,,
NEGROS OCCIDENTAL,6573,213.0,745.0,26.0,2.0,,1299,32.0,49.0,23.0,6.0,,,,,,41,29.0,1.0,,78.0,7.0,,67.0,1.0,10.0,13.0,1.0,,,,,53.0,,6.0,,12.0,22.0,1.0,166.0,,4.0
NEGROS ORIENTAL,7632,39.0,58.0,25.0,,,920,18.0,21.0,10.0,11.0,2.0,,,,,16,18.0,1.0,,47.0,7.0,,9.0,2.0,15.0,,1.0,,,,,96.0,,2.0,2.0,1.0,13.0,,69.0,,
NORTH COTABATO,532,,64.0,6.0,,,891,1.0,24.0,5.0,6.0,,,,,,29,8.0,3.0,,17.0,8.0,,25.0,,1.0,,,,,,,35.0,,1.0,,,20.0,1.0,11.0,,
NORTHERN SAMAR,2115,16.0,568.0,4.0,,,596,2.0,20.0,2.0,5.0,,,,,,9,17.0,,,30.0,8.0,,35.0,,3.0,,,,,,,63.0,,5.0,,,3.0,2.0,70.0,,
NUEVA ECIJA,2293,11.0,53.0,19.0,,,994,12.0,37.0,12.0,13.0,,,,,,38,37.0,8.0,,117.0,23.0,,22.0,1.0,14.0,,2.0,7.0,,,,316.0,,4.0,,,51.0,,83.0,,
NUEVA VIZCAYA,370,4.0,53.0,7.0,,,384,3.0,14.0,3.0,2.0,,,,,,13,17.0,,,13.0,4.0,,16.0,,1.0,,,,,,,35.0,,3.0,,,13.0,,43.0,,
OCCIDENTAL MINDORO,164,,98.0,6.0,,,349,,8.0,3.0,4.0,,,,,,9,18.0,,,17.0,3.0,,19.0,,6.0,,,,,,,585.0,,,,,2.0,,77.0,,
ORIENTAL MINDORO,4486,6.0,2.0,2.0,,,579,3.0,20.0,2.0,5.0,2.0,,,,,14,8.0,3.0,,34.0,8.0,,6.0,,4.0,4.0,,,,,,12.0,,5.0,,,13.0,,41.0,,
PAMPANGA,43688,150.0,3243.0,76.0,,,976,21.0,57.0,22.0,334.0,,,2.0,,,79,501.0,27.0,,443.0,51.0,,57.0,,491.0,22.0,2.0,,,,,3464.0,,15.0,25.0,,104.0,1.0,143.0,2.0,
PANGASINAN,9360,13.0,370.0,42.0,,,1579,21.0,30.0,3.0,50.0,1.0,,,,,56,70.0,32.0,,279.0,34.0,,60.0,,10.0,3.0,1.0,,,,,1143.0,,12.0,,17.0,23.0,1.0,123.0,1.0,
QUEZON,4845,11.0,1851.0,39.0,1.0,,1134,13.0,29.0,9.0,4.0,,,1.0,,,37,33.0,4.0,,89.0,13.0,,26.0,2.0,6.0,3.0,7.0,,,,1.0,405.0,,10.0,,1.0,34.0,,106.0,,
QUIRINO,2039,,3814.0,,,,191,1.0,,,14.0,,,,,,1,6.0,2.0,,1.0,1.0,,7.0,1.0,1.0,,,,,,,82.0,,,,,,,29.0,1.0,
RIZAL,34583,432.0,1154.0,47.0,2.0,1.0,572,11.0,51.0,15.0,15.0,2.0,,1.0,,,50,60.0,13.0,,133.0,16.0,,185.0,4.0,13.0,1.0,,,,,,22.0,,5.0,14.0,,5.0,,48.0,3.0,
ROMBLON,418,,1.0,4.0,,,259,5.0,3.0,,2.0,,,,,,8,6.0,2.0,,9.0,3.0,,7.0,,2.0,1.0,,,,,,7.0,,,,,6.0,,10.0,,
SAMAR,4985,3.0,7057.0,18.0,,1.0,960,5.0,4.0,2.0,7.0,,,,,1.0,17,15.0,3.0,,27.0,5.0,,64.0,,9.0,4.0,1.0,,,,,76.0,,23.0,1.0,,8.0,2.0,75.0,1.0,1.0
SARANGANI,271,,66.0,1.0,1.0,,263,1.0,,1.0,3.0,,,,,,6,6.0,2.0,,22.0,,,7.0,,2.0,,,,,,,22.0,,1.0,,1.0,10.0,,11.0,,
SIQUIJOR,16,,,3.0,,2.0,88,,2.0,16.0,9.0,,,,,,3,4.0,1.0,,12.0,1.0,,1.0,9.0,,,,,,,,11.0,,,,,,,1.0,,
SORSOGON,3526,2.0,147.0,,,,611,4.0,8.0,1.0,45.0,,,,,,20,5.0,18.0,,17.0,,,9.0,,3.0,22.0,,,,,,327.0,,10.0,,1.0,52.0,3.0,54.0,1.0,
SOUTH COTABATO,8106,38.0,873.0,23.0,,,596,13.0,27.0,2.0,10.0,,,,,,36,34.0,12.0,,39.0,7.0,,17.0,,5.0,11.0,,,,,,151.0,,20.0,1.0,,40.0,,24.0,1.0,
SOUTHERN LEYTE,11723,15.0,67.0,6.0,,,452,5.0,9.0,2.0,7.0,1.0,1.0,,,,19,11.0,4.0,,28.0,5.0,,33.0,,3.0,,,,,,,28.0,1.0,6.0,,9.0,15.0,,69.0,,
SULTAN KUDARAT,249,,1.0,1.0,,,408,6.0,3.0,3.0,4.0,,,,,,13,5.0,30.0,,21.0,1.0,,2.0,,5.0,,,,,,,12.0,,1.0,,,3.0,,42.0,,
SULU,186,,1.0,,,,101,,5.0,,,,,,,,3,1.0,,,,1.0,,2.0,,,,,,,,,16.0,,,,,14.0,,1.0,,
SURIGAO DEL NORTE,3281,3.0,208.0,11.0,14.0,,429,4.0,5.0,5.0,6.0,,,,,,11,15.0,8.0,,20.0,3.0,1.0,42.0,,6.0,1.0,,,,,,544.0,,3.0,,1.0,15.0,,36.0,,
SURIGAO DEL SUR,2210,12.0,131.0,2.0,,,517,6.0,10.0,,,,,,,,6,19.0,2.0,,19.0,7.0,,6.0,,14.0,1.0,1.0,,,,,12.0,,,,4.0,9.0,,51.0,,
TARLAC,1232,6.0,161.0,14.0,1.0,1.0,645,7.0,30.0,5.0,23.0,3.0,,1.0,,,30,47.0,11.0,,146.0,18.0,,12.0,,3.0,30.0,,1.0,,,,521.0,,12.0,2.0,3.0,16.0,,39.0,5.0,
TAWI-TAWI,9362,,,,,,211,,1.0,,,,,,,,4,3.0,,,2.0,1.0,,2.0,,1.0,,,,,,,6.0,,,,1.0,9.0,,2.0,,
ZAMBALES,80446,34.0,1122.0,7.0,,1.0,364,8.0,19.0,12.0,17.0,,,,,,18,25.0,3.0,,38.0,6.0,,12.0,,14.0,3.0,,,,,,267.0,,6.0,1.0,104.0,36.0,,70.0,1.0,
ZAMBOANGA DEL NORTE,156,1.0,8.0,3.0,,,845,4.0,8.0,1.0,1.0,,,2.0,,,10,5.0,,,9.0,4.0,,11.0,,,,,,,,,74.0,,1.0,,,2.0,,99.0,,
ZAMBOANGA DEL SUR,1592,7.0,767.0,18.0,,,1097,7.0,23.0,8.0,13.0,,,,,,28,24.0,1.0,,71.0,7.0,,14.0,,4.0,,,,,,,354.0,,,,1.0,6.0,,71.0,1.0,
ZAMBOANGA SIBUGAY,439,1.0,10.0,1.0,,,486,3.0,1.0,2.0,1.0,,,,,,2,1.0,,,3.0,2.0,,2.0,,,,,,,,,116.0,,,,,3.0,,44.0,,
METRO MANILA,104440,2750.0,3833.0,368.0,15.0,7.0,1740,102.0,311.0,105.0,76.0,7.0,,2.0,,1.0,245,479.0,105.0,2.0,1264.0,252.0,,327.0,8.0,171.0,2.0,2.0,,,,1.0,152.0,,12.0,12.0,0.0,2.0,,86.0,,0.0
PALAWAN,9976,6.0,748.0,37.0,0.0,0.0,873,16.0,19.0,17.0,11.0,0.0,,0.0,,0.0,19,29.0,4.0,0.0,43.0,12.0,,32.0,3.0,2.0,1.0,0.0,,,,0.0,34.0,,4.0,0.0,10.0,20.0,,63.0,,1.0
